0,1
1,0
2,3
3,2
4,5
4,6
4,7
5,4
6,4
7,4
8,9
8,10
8,11
9,8
10,8
11,8
12,14
13,14
12,16
14,12
15,12
16,12
14,13
12,15
17,19
18,19
19,17
20,18
21,18
19,18
18,21
18,20
22,26
23,28
24,28
25,22
24,22
26,22
24,27
27,24
22,24
28,24
22,25
28,23
29,34
30,34
31,34
32,33
33,32
29,32
32,29
34,29
35,29
34,30
29,35
34,31
36,38
37,42
37,41
38,36
39,36
40,36
37,36
36,39
41,37
36,37
42,37
36,40
43,45
43,47
44,48
44,43
45,43
46,43
47,43
44,49
43,46
48,44
49,44
43,44
50,55
50,54
51,57
52,57
53,50
54,50
55,50
56,51
57,51
51,56
53,56
53,58
52,58
58,52
57,52
56,53
50,53
58,53
59,62
60,62
61,62
62,59
63,59
64,59
63,67
65,67
62,61
59,64
66,64
67,63
59,63
66,65
67,65
65,66
64,66
62,60
68,73
69,73
68,74
70,74
71,72
69,71
72,71
73,68
74,68
75,70
74,70
70,75
69,75
75,69
71,69
73,69
76,79
77,79
78,77
79,77
80,82
76,82
80,83
81,83
79,76
82,76
77,78
80,78
83,81
82,80
83,80
78,80
84,86
85,86
84,87
86,85
86,84
87,84
88,91
88,90
89,90
90,89
91,88
90,88
92,96
93,92
94,92
95,92
96,92
97,94
92,94
92,93
94,97
92,95
98,102
99,102
100,102
101,102
102,98
103,98
102,99
102,101
102,100
98,103
104,106
105,106
106,104
107,104
108,110
105,110
109,111
107,108
110,108
107,109
111,109
109,107
104,107
108,107
106,105
110,105
112,117
113,117
114,117
115,118
116,118
117,113
115,113
116,114
117,114
112,119
113,115
118,115
117,112
119,112
118,116
114,116
120,123
121,120
122,120
123,120
124,126
125,126
126,125
127,125
122,124
126,124
120,121
120,122
124,122
128,122
128,127
125,127
127,128
122,128
129,134
130,134
129,133
131,133
132,136
133,129
134,129
131,135
130,135
135,130
134,130
136,132
137,132
131,132
133,131
135,131
132,131
132,137
138,145
139,145
140,141
141,140
142,140
143,140
142,147
142,148
139,144
143,144
144,139
145,139
145,138
146,138
147,142
140,142
148,142
143,146
138,146
140,143
146,143
144,143
149,154
150,154
151,157
152,157
153,157
153,158
149,155
152,155
153,159
154,149
155,149
156,150
154,150
157,153
158,153
159,153
156,152
155,152
157,152
157,151
152,156
150,156
160,162
161,162
162,160
163,160
164,169
165,169
166,172
167,172
164,172
168,163
160,163
166,163
169,165
170,165
162,161
171,161
165,170
167,170
171,168
163,168
168,171
161,171
172,164
169,164
172,166
173,166
163,166
170,167
172,167
166,173
174,177
175,177
176,175
177,175
178,184
179,184
180,183
181,183
182,183
183,180
184,178
181,178
183,182
176,182
185,182
179,187
186,187
187,186
181,186
186,181
178,181
183,181
175,176
182,176
174,185
182,185
185,174
177,174
184,179
187,179
188,192
188,190
188,189
189,188
190,188
191,188
192,188
188,191
193,197
194,197
195,197
196,197
197,196
194,199
197,195
198,195
195,198
197,193
199,194
197,194
200,204
201,204
202,204
203,204
204,200
205,200
206,200
207,209
208,209
206,207
209,207
200,205
208,205
204,202
204,203
201,210
204,201
210,201
205,208
209,208
200,206
207,206
211,212
212,211
213,211
214,221
213,221
215,223
216,223
213,218
217,218
215,217
218,217
219,217
216,222
219,222
218,213
220,213
221,213
211,213
222,216
223,216
217,215
223,215
217,219
222,219
221,214
213,220
224,228
225,228
226,227
225,227
227,225
228,225
229,224
228,224
230,224
231,224
224,230
227,226
231,226
224,231
226,231
224,229
